,CV,no exprt. 90% starvation,no exprt. 90% agg. comp,with exprt. 90% starvation,with exprt. 90% agg. comp
0,0.01,13.0,209.0,11.0,101.0
1,0.02,23.0,197.0,29.0,113.0
2,0.03,42.0,204.0,33.0,114.0
3,0.04,45.0,217.0,52.0,139.0
4,0.05,63.0,215.0,56.0,121.0
5,0.060000000000000005,74.0,198.0,69.0,143.0
6,0.06999999999999999,78.0,239.0,74.0,126.0
7,0.08,103.0,288.0,90.0,125.0
8,0.09,96.0,236.0,93.0,132.0
9,0.09999999999999999,109.0,249.0,122.0,149.0
10,0.11,124.0,245.0,128.0,125.0
11,0.12,137.0,250.0,153.0,124.0
12,0.13,139.0,276.0,145.0,130.0
13,0.14,164.0,262.0,151.0,138.0
14,0.15000000000000002,167.0,273.0,157.0,133.0
15,0.16,201.0,289.0,179.0,149.0
16,0.17,189.0,308.0,178.0,149.0
17,0.18000000000000002,199.0,302.0,194.0,150.0
18,0.19,211.0,325.0,203.0,156.0
19,0.2,220.0,369.0,226.0,145.0
20,0.21000000000000002,223.0,311.0,262.0,170.0
21,0.22,239.0,359.0,262.0,159.0
22,0.23,276.0,402.0,269.0,180.0
23,0.24000000000000002,302.0,380.0,257.0,182.0
24,0.25,267.0,363.0,269.0,195.0
25,0.26,288.0,385.0,297.0,168.0
26,0.27,296.0,397.0,295.0,178.0
27,0.28,295.0,415.0,303.0,208.0
28,0.29000000000000004,318.0,407.0,317.0,211.0
29,0.3,347.0,438.0,338.0,217.0
30,0.31,350.0,457.0,324.0,247.0
31,0.32,353.0,456.0,354.0,250.0
32,0.33,332.0,463.0,327.0,232.0
33,0.34,351.0,478.0,356.0,247.0
34,0.35000000000000003,358.0,482.0,380.0,249.0
35,0.36000000000000004,379.0,513.0,391.0,256.0
36,0.37,388.0,502.0,383.0,231.0
37,0.38,410.0,573.0,422.0,268.0
38,0.39,394.0,526.0,405.0,257.0
39,0.4,412.0,586.0,424.0,288.0
40,0.41000000000000003,426.0,562.0,461.0,280.0
41,0.42000000000000004,449.0,570.0,450.0,280.0
42,0.43,448.0,630.0,481.0,311.0
43,0.44,445.0,629.0,461.0,283.0
44,0.45,456.0,626.0,440.0,297.0
45,0.46,452.0,633.0,453.0,336.0
46,0.47000000000000003,477.0,630.0,470.0,283.0
47,0.48000000000000004,470.0,628.0,509.0,308.0
48,0.49,478.0,656.0,440.0,276.0
49,0.5,512.0,674.0,480.0,322.0
50,0.51,489.0,678.0,498.0,300.0
51,0.52,513.0,657.0,542.0,357.0
52,0.53,503.0,696.0,538.0,365.0
53,0.54,472.0,654.0,488.0,328.0
54,0.55,531.0,689.0,509.0,322.0
55,0.56,568.0,762.0,518.0,352.0
56,0.5700000000000001,541.0,719.0,577.0,354.0
57,0.5800000000000001,554.0,729.0,549.0,369.0
58,0.59,538.0,715.0,595.0,361.0
59,0.6,639.0,832.0,580.0,343.0
60,0.61,608.0,797.0,564.0,361.0
61,0.62,598.0,803.0,539.0,332.0
62,0.63,640.0,749.0,652.0,409.0
63,0.64,561.0,811.0,685.0,405.0
64,0.65,643.0,809.0,615.0,363.0
65,0.66,598.0,850.0,622.0,378.0
66,0.67,548.0,733.0,596.0,348.0
67,0.68,595.0,748.0,610.0,382.0
68,0.6900000000000001,618.0,779.0,614.0,425.0
69,0.7000000000000001,579.0,755.0,609.0,400.0
70,0.7100000000000001,646.0,807.0,623.0,428.0
71,0.72,626.0,876.0,590.0,368.0
72,0.73,613.0,780.0,616.0,384.0
73,0.74,685.0,902.0,615.0,377.0
74,0.75,608.0,786.0,611.0,401.0
75,0.76,630.0,782.0,655.0,395.0
76,0.77,699.0,875.0,601.0,402.0
77,0.78,642.0,867.0,598.0,469.0
78,0.79,631.0,798.0,714.0,440.0
79,0.8,639.0,864.0,652.0,408.0
80,0.81,680.0,838.0,621.0,415.0
81,0.8200000000000001,704.0,868.0,655.0,424.0
82,0.8300000000000001,673.0,820.0,622.0,365.0
83,0.8400000000000001,706.0,880.0,613.0,386.0
84,0.85,726.0,905.0,693.0,462.0
85,0.86,752.0,936.0,621.0,401.0
86,0.87,724.0,897.0,697.0,444.0
87,0.88,722.0,844.0,682.0,427.0
88,0.89,676.0,876.0,632.0,431.0
89,0.9,722.0,848.0,752.0,483.0
90,0.91,614.0,798.0,708.0,479.0
91,0.92,682.0,875.0,732.0,461.0
92,0.93,755.0,928.0,695.0,429.0
93,0.9400000000000001,655.0,773.0,711.0,431.0
94,0.9500000000000001,707.0,893.0,760.0,496.0
95,0.9600000000000001,735.0,882.0,811.0,516.0
96,0.97,720.0,874.0,698.0,439.0
97,0.98,820.0,992.0,714.0,474.0
98,0.99,707.0,846.0,707.0,464.0
99,1.0,833.0,1024.0,770.0,506.0
100,1.01,770.0,913.0,749.0,454.0
